032	085	032	057	032	077	032	104
033	038	033	066	033	072	033	094
034	045	034	095	034	060	034	101
035	126	035	080	035	088	035	034
036	064	036	101	036	092	036	038
037	101	037	047	037	068	037	036
038	063	038	093	038	039	038	037
039	096	039	060	039	069	039	086
040	095	040	096	040	033	040	121
041	114	041	126	041	105	041	056
042	103	042	108	042	087	042	043
043	083	043	122	043	044	043	119
044	060	044	052	044	073	044	095
045	065	045	120	045	071	045	090
046	034	046	038	046	075	046	092
047	119	047	077	047	123	047	109
048	043	048	041	048	076	048	054
049	057	049	125	049	066	049	110
050	121	050	085	050	108	050	088
051	091	051	056	051	125	051	040
052	055	052	084	052	032	052	096
053	108	053	054	053	053	053	089
054	047	054	110	054	122	054	107
055	046	055	082	055	102	055	122
056	097	056	049	056	084	056	061
057	088	057	076	057	048	057	082
058	077	058	034	058	106	058	117
059	061	059	118	059	052	059	116
060	106	060	039	060	104	060	097
061	048	061	068	061	041	061	084
062	059	062	069	062	036	062	102
063	109	063	033	063	045	063	042
064	122	064	036	064	109	064	091
065	125	065	081	065	110	065	105
066	036	066	105	066	063	066	052
067	069	067	045	067	115	067	044
068	100	068	116	068	097	068	106
069	039	069	089	069	035	069	076
070	110	070	042	070	040	070	077
071	081	071	121	071	114	071	075
072	070	072	050	072	051	072	123
073	115	073	100	073	055	073	115
074	111	074	124	074	100	074	058
075	032	075	059	075	062	075	039
076	052	076	112	076	050	076	064
077	050	077	099	077	112	077	059
078	079	078	113	078	049	078	053
079	033	079	111	079	067	079	067
080	041	080	097	080	124	080	113
081	099	081	083	081	090	081	047
082	087	082	064	082	098	082	065
083	118	083	051	083	113	083	080
084	067	084	043	084	093	084	125
085	056	085	102	085	116	085	046
086	090	086	104	086	085	086	033
087	117	087	037	087	107	087	069
088	074	088	091	088	099	088	111
089	120	089	094	089	111	089	073
090	092	090	109	090	126	090	079
091	078	091	079	091	058	091	063
092	071	092	067	092	120	092	060
093	089	093	046	093	079	093	103
094	098	094	073	094	082	094	072
095	080	095	072	095	047	095	057
096	058	096	123	096	056	096	093
097	102	097	044	097	118	097	098
098	123	098	078	098	086	098	126
099	094	099	075	099	083	099	085
100	086	100	106	100	054	100	050
101	076	101	115	101	046	101	081
102	116	102	040	102	042	102	108
103	066	103	065	103	074	103	049
104	068	104	053	104	070	104	071
105	075	105	074	105	089	105	035
106	073	106	063	106	034	106	051
107	049	107	055	107	119	107	087
108	051	108	071	108	101	108	112
109	113	109	107	109	081	109	120
110	093	110	114	110	037	110	055
111	042	111	090	111	121	111	032
112	037	112	032	112	078	112	066
113	084	113	098	113	103	113	099
114	054	114	062	114	043	114	124
115	124	115	087	115	080	115	118
116	044	116	117	116	065	116	062
117	040	117	088	117	038	117	045
118	053	118	070	118	064	118	074
119	107	119	061	119	094	119	041
120	105	120	092	120	057	120	068
121	082	121	103	121	095	121	078
122	104	122	058	122	091	122	100
123	112	123	035	123	096	123	114
124	072	124	086	124	117	124	048
125	035	125	119	125	059	125	070
126	062	126	048	126	061	126	083
